分册,模板文件,位置,类型,上下文,目标字段,置信度,来源
二、过程分册,1、开工报审表.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,1、开工报审表.docx,段3,标签留空,文档编号：,docNo,高,实况核对
二、过程分册,1、开工报审表.docx,表1行1列1,填充位,致：{{supervisionUnit}}（监理单位）我单位承担的{{projectName}}，已完成了各项开工准备工,projectName|supervisionUnit,高,新增（实况补录）
二、过程分册,2、项目经理授权书.docx,段4,空白占位,致：                  （建设单位）,ownerUnit,中,实况核对
二、过程分册,2、项目经理授权书.docx,段6,空白占位,兹授权我公司        同志，身份证号                             ，为        ,managerIdCard|projectManager|projectName,中,实况校正
二、过程分册,2、项目经理授权书.docx,段21,手填·日期,日          期：,@manualDate,高,实况核对
二、过程分册,3、施工组织方案报审表.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,3、施工组织方案报审表.docx,段3,标签留空,文档编号：,docNo,高,实况核对
二、过程分册,3、施工组织方案报审表.docx,表1行1列1,填充位,致：{{supervisionUnit}}（监理单位）我单位已完成了{{projectName}}的施工组织设计（方案）,projectName|supervisionUnit,高,新增（实况补录）
二、过程分册,4、施工组织方案.docx,段2,前缀插入,项目,projectName,中,实况核对
二、过程分册,4、施工组织方案.docx,段14,填充位,{{constructionUnit}},constructionUnit,高,新增（实况补录）
二、过程分册,4、施工组织方案.docx,段35,手填·日期,本工程计划       年   月    日开工，      年   月    日完工，工期为     日历天。工程一旦,@manualDate,高,实况核对
二、过程分册,4、施工组织方案.docx,段49,前缀插入,项目,projectName,中,实况校正
二、过程分册,4、施工组织方案.docx,段51,填充位,{{projectBackground}},projectBackground,高,新增（实况补录）
二、过程分册,4、施工组织方案.docx,段53,填充位,{{projectGoal}},projectGoal,高,新增（实况补录）
二、过程分册,4、施工组织方案.docx,段55,填充位,{{projectContent}},projectContent,高,新增（实况补录）
二、过程分册,5、工程开工令.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,5、工程开工令.docx,表1行1列1,段落模板,致：                        （承建单位）经审核，我方认为你方已经完成了工程实施前的准备工作，满足,constructionUnit|projectName,中,实况校正
二、过程分册,5、工程开工令.docx,表1行2列1,段落模板,建设单位意见：              同意申请。              不同意申请。              ,@manualDate,中,实况校正
二、过程分册,7、设备开箱验收记录.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,7、设备开箱验收记录.docx,段3,标签留空,文档编号：,docNo,高,实况核对
二、过程分册,7、设备开箱验收记录.docx,表1行1列2,空单元格,建设单位 |  | 监理单位 | ,ownerUnit,高,实况核对
二、过程分册,7、设备开箱验收记录.docx,表1行1列4,空单元格,建设单位 |  | 监理单位 | ,supervisionUnit,高,实况核对
二、过程分册,7、设备开箱验收记录.docx,表1行2列2,空单元格,承建单位 |  | 验收地点 | ,constructionUnit,高,实况核对
二、过程分册,7、设备开箱验收记录.docx,表1行2列4,空单元格,承建单位 |  | 验收地点 | ,buildSite,高,实况核对
二、过程分册,8、设备安装调试记录表.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,8、设备安装调试记录表.docx,段3,标签留空,文档编号：,docNo,高,实况核对
