标准名,分册序,别名,出处,说明
一、依据分册,1,一、依据分册,软件目录.docx,标准名（无模板，纯上传分册）
二、过程分册,2,二、过程分册,软件目录.docx,标准名
三、图纸分册,3,三、图纸分册,软件目录.docx,标准名（无模板，纯上传分册）
四、变更分册,4,四、变更分册,表名缩写字典.csv,标准名（无模板，纯上传分册）
四、变更分册,4,变更分册,软件目录.docx,⚠ 别名：软件目录原文缺「四、」前缀，实际只写「变更分册」
五、初步验收分册（政务信息化项目）,5,五、初步验收分册（政务信息化项目）,07_模板资产 实际目录名,★ 标准名（以实际目录为准）
五、初步验收分册（政务信息化项目）,5,五、初步验收分册,模板字段映射表.csv,去括号短名，与标准名同义
五、初步验收分册（政务信息化项目）,5,五、初步验收与试运行分册（政务信息化项目）,软件目录.docx,⚠ 别名：多“与试运行”四字
五、初步验收分册（政务信息化项目）,5,五、初步验收与试运行分册,表名缩写字典.csv,⚠ 别名：多“与试运行”四字且无括号
六、竣工验收报告,6,六、竣工验收报告,软件目录.docx,标准名（注意：无“分册”二字）
七、竣工验收分册（政务信息化项目）,7,七、竣工验收分册（政务信息化项目）,软件目录.docx,标准名
七、竣工验收分册（政务信息化项目）,7,七、竣工验收分册,模板字段映射表.csv,去括号短名，与标准名同义
八、封面页,8,八、封面页,软件目录.docx,标准名
