分册,序号,目录项名,模板状态,收录,表名缩写,缩写长度,流水号位数,含编号标签,启用编号,备注
一、依据分册,1,中标通知书,上传项,optional,ZBTZS,5,2,否,否,上传项，无模板
一、依据分册,2,合同及补充协议复印件,上传项,optional,HTJBCXYFYJ,10,2,否,否,上传项，无模板
一、依据分册,3,项目招标控制价评审报告及评审清单,上传项,optional,XMZBKZJPSBGJPSQD,16,2,否,否,上传项，无模板
二、过程分册,1,开工报审表,有模板,optional,KGBSB,5,2,是,是,
二、过程分册,2,项目经理授权书,有模板,optional,XMJLSQS,7,2,否,否,模板内无「文档编号」标签，不编号
二、过程分册,3,施工组织方案报审表,有模板,optional,SGZZFABSB,9,2,是,是,
二、过程分册,4,施工组织方案,有模板,optional,SGZZFA,6,2,否,否,模板内无「文档编号」标签，不编号
二、过程分册,5,工程开工令,有模板,optional,GCKGL,5,2,否,否,模板内无「文档编号」标签，不编号
二、过程分册,6,设备及材料（辅材）清单,上传项,optional,SBJCL,5,2,否,否,上传项，无模板
二、过程分册,7,设备开箱验收记录,有模板,required,SBKXYSJL,8,2,是,是,
二、过程分册,8,设备安装调试记录表,有模板,required,SBAZDSJLB,9,2,是,是,
二、过程分册,9,设备签收单,上传项,optional,SBQSD,5,2,否,否,上传项，无模板
二、过程分册,10,施工日志,有模板,required,SGRZ,4,3,是,是,
二、过程分册,11,项目周报,有模板,required,XMZB,4,3,是,是,
二、过程分册,12,项目月报,有模板,required,XMYB,4,3,是,是,
二、过程分册,13,质量证明文件,上传项,optional,ZLZMWJ,6,2,否,否,上传项，无模板
三、图纸分册,1,项目设计图纸,上传项,optional,XMSJTZ,6,2,否,否,上传项，无模板
三、图纸分册,2,项目施工图纸,上传项,optional,XMSGTZ,6,2,否,否,上传项，无模板
三、图纸分册,3,项目竣工图纸,上传项,optional,XMJGTZ,6,2,否,否,上传项，无模板
三、图纸分册,4,隐蔽工程资料,上传项,optional,YBGCZL,6,2,否,否,上传项，无模板
四、变更分册,1,工作联系单,上传项,optional,GZLXD,5,2,否,否,上传项，无模板
四、变更分册,2,项目变更单,上传项,optional,XMBGD,5,2,否,否,上传项，无模板
五、初步验收与试运行分册,1,试运行申请表,有模板,required,SYXSQB,6,2,是,是,
五、初步验收与试运行分册,2,运行期间的运维方案,上传项,optional,YXQJDYWFA,9,2,否,否,上传项，无模板
五、初步验收与试运行分册,3,培训方案,上传项,optional,PXFA,4,2,否,否,上传项，无模板
五、初步验收与试运行分册,4,培训记录表,上传项,optional,PXJLB,5,2,否,否,上传项，无模板
五、初步验收与试运行分册,5,用户手册,上传项,optional,YHSC,4,2,否,否,上传项，无模板
五、初步验收与试运行分册,6,试运行记录表,有模板,required,SYXJLB,6,3,是,是,
五、初步验收与试运行分册,7,试运行评价意见,有模板,required,SYXPJYJ,7,2,否,否,模板内无「文档编号」标签，不编号
五、初步验收与试运行分册,8,初步验收申请表,有模板,required,CBYSSQB,7,2,否,否,模板内无「文档编号」标签，不编号
五、初步验收与试运行分册,9,初步验收意见,有模板,required,CBYSYJ,6,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,1,封面,有模板,required,FM,2,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,2,目录,有模板,required,ML,2,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,3,基础信息,有模板,required,JCXX,4,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,4,设备拓扑图,有模板,required,SBTPT,5,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,5,培训记录表,有模板,required,PXJLB,5,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,6,项目验收申请报告,有模板,required,XMYSSQBG,8,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,7,验收结论,有模板,required,YSJL,4,2,否,否,模板内无「文档编号」标签，不编号
六、竣工验收报告,8,质保期承诺书,有模板,required,ZBQCNS,6,2,否,否,模板内无「文档编号」标签，不编号
